sentence1;sentence2;accuracy;fluency;diversity
Obrekljivki, ki sta jima po glavah rojile kaj čudne misli o njunih dveh lovcih, sta si imeli povedati marsikaj.;Obrekovalca, ki sta si imela v glavi čudne misli o svojih lovcih, sta si imela veliko za povedati.;;;
Leta 1990 je ameriška korporacija General motors kupila 51-% delež proizvajalca avtomobilov SAAB Automobile, deset let pozneje pa še preostanek.;Leta 1990 je General Motors kupil 51-odstotni delež družbe SAAB Automobile, deset let pozneje pa še preostali delež.;;;
Za zdravljenje krupa so iskali druge načine zdravljenja, vendar ni dovolj dokazov, ki bi podpirali njihovo uporabo.;Za krup se je iskalo tudi druge oblike zdravljenja, vendar njihove uporabe ne podpira dovolj dokazov.;;;
Ženevska univerza je javna raziskovalna univerza v Ženevi v Švici.;Univerza v Ženevi je javna raziskovalna univerza s sedežem v Ženevi v Švici.;;;
Člani se pred plenarnimi zasedanji in drugimi dogodki srečujejo v nacionalnih delegacijah, da bi oblikovali skupna stališča.;Člani se v okviru nacionalnih delegacij sestanejo pred plenarnimi zasedanji in drugimi dogodki ter oblikujejo skupna stališča.;;;
V oči bode namreč visoko število točk – v znanosti se ta odnos imenuje tudi občudovanje, ki meji na imbecilnost –, ki ga pri naših dveh miniaturnih in sprtih narodih dosega Avstrija.;Presenetljiva je visoka ocena - v znanosti se temu odnosu reče tudi občudovanje, ki je na meji z bullshitom -, ki jo Avstrija dosega med našima miniaturnima in vojnima narodoma.;;;
Čuti žejo po krvi.;Željan je krvi.;;;
Lokalne in regionalne oblasti v Evropski uniji si prizadevajo za večji vpliv na zadeve EU.;Lokalne in regionalne oblasti v Evropski uniji se zavzemajo za večji vpliv na zadeve EU.;;;
Dejstvo pa je, da Celje ima s Starim gradom in dvoriščem Knežjega dvorca dve morebitni prizorišči, kakršnih ni prav veliko.;Dejstvo je, da ima Celje s Starim gradom in dvoriščem Knežjega dvorca dve potencialni prizorišči, ki jih ni veliko.;;;
Bil je prepričan, da so njegovi duhovniki več kot ustrezni za potrebe ukrajinske skupnosti.;Prepričan je bil, da so njegovi duhovniki več kot kos potrebam ukrajinske skupnosti.;;;
Med evolucijo lahko nekatere strukture izgubijo svojo prvotno funkcijo in postanejo vestigialne strukture.;Z razvojem lahko nekatere strukture izgubijo svojo prvotno vlogo in postanejo zakrnele strukture.;;;
Opravljal je tudi različne diplomatske naloge.;Opravljal je tudi različne diplomatske funkcije.;;;
Vlogo pri oblikovanju prednostnih nalog za uporabo sredstev ESS ima tudi Evropska socialna agenda.;Evropska socialna agenda ima prav tako pomembno vlogo pri določanju prednostnih nalog pri uporabi sredstev ESS.;;;
Predstavniki držav so povabljeni na srečanje v Filadelfijo, kjer bodo razpravljali o izboljšavah v zvezni vladi.;Predstavniki držav so bili povabljeni na srečanje v Filadelfijo, kjer bodo razpravljali o izboljšavah v zvezni vladi.;;;
Kot sta Brownu zdaj oba odkrito povedala vpričo novinarjev, sta pred lanskim božičem zamenjala stran in podprla vlado, ker sta afganistanska in britanska vlada ponudili boljše »priložnosti« njunima plemenoma.;"Kot je Brown zdaj odkrito povedal novinarjem, sta oba pred lanskim božičem zamenjala strani in podprla vlado, ker sta afganistanska in britanska vlada njunima plemenoma ponujali boljše ""priložnosti"".";;;
Protokol SMTP (Simple Mail Transfer Protocol) je internetni standard za prenos e-pošte.;Simple mail transfer protocol (SMTP) je internetni standard za prenos elektronske pošte.;;;
S tem je mislila na državo z njenimi neposrednimi plačili kmetom ali izvoznimi spodbudami mlekarnam, vendar na ravni cen, ki je veljala v prvem četrtletju lanskega leta.;S tem je imela v mislih državo z njenimi neposrednimi plačili kmetom ali izvoznimi spodbudami mlekarnam, vendar na cenovni ravni, kakršna je veljala za prvo četrtletje lanskega leta.;;;
Mesečni izdatki se mu težko izravnajo s pičlo odmerjenimi prejemki, položnice za neodložljive račune mu pogoltnejo vsaj tretjino, če že ne polovico rednega mesečnega prejemka, jesti in piti je treba vsak dan in bognedaj, da pridejo vmes še kakšni nepredvideni stroški ali nujni nakupi, kakršnim se je še zlasti jeseni težko izogniti!;Njegovi mesečni izdatki težko nadomestijo skromno odmerjene prejemke, računi požrejo vsaj tretjino, če ne celo polovico rednega mesečnega dohodka, vsak dan mora jesti in piti in, bog ne daj, vmes so nepredvideni izdatki ali nujni nakupi, ki se jim je težko izogniti, zlasti jeseni!;;;
Po eklektičnem, čeprav kratkem odmerku sinhronizirane koreografije in falseta Josepha Mounta se je večer za nas končal okoli ene ure zjutraj, čeprav je na obeh manjših prizoriščih trajal do treh zjutraj.;Po eklektičnem, čeprav kratkem odmerku sinhroniziranih koreografij in falseta Josepha Mounta se je večer za nas končal okoli 1. ure zjutraj, čeprav se je na obeh manjših prizoriščih nadaljeval do 3. ure zjutraj.;;;
Med majem in septembrom v Izraelu le redko dežuje.;V Izraelu med majem in septembrom redko dežuje.;;;
Jakob je bil edini sin Marije I. Škotske in njenega drugega moža, Henrika Stuarta, lorda Darnleyja.;Jakob je bil edini sin Marije I. Škotske in njenega drugega moža Henrija Stuarta, lorda Darnleyja.;;;
Da so mi pred kratkim naročili tekst o sedemnajstem okrožju in da sem napisala nekaj o njegovih dveh življenjih, ki ju poznam samo jaz?;Da so mi pred kratkim naročili, naj napišem besedilo o sedemnajstem okrožju in napišem nekaj o njegovih dveh življenjih, ki jih poznam samo jaz?;;;
Z mehkim vonjem njegovih rjuh in omamnim vonjem najinega ljubljenja, ki se je še vedno držal najinih teles, sem zaspala v Jettovem objemu.;Ob blagem vonju njegovih rjuh in opojni dišavi najinega ljubljenja, ki se je še držala najinih teles, sem zaspala v Jettovem naročju.;;;
Večjega Renata sem postavil na klin, da bi znižal stroške, vendar pri dveh letih še nismo imeli pravega uspeha.;Večjega Renata sem postavil na šparovček, da bi znižal stroške, vendar pri dveh letih še nismo imeli pravega uspeha.;;;
Leta 1206 se je Teodor razglasil za cesarja Nikejskega cesarstva.;Leta 1206 se je Teodor razglasil za cesarja nicejskega cesarstva.;;;
Jonas Brothers na tekmovanju Miss Teen USA izvajata dve pesmi.;Skupina Jonas Brothers je z dvema pesmima nastopila na tekmovanju Miss Teen USA.;;;
Ker rad jé in ker je, kot dodaja, morda malce hipohondričen.;Ker rad jé in ker, kot dodaja, je morda malce hipohondričen.;;;
Zdravniki lahko bolnike tudi spodbudijo, da prepričajo svoje partnerje, naj se obrnejo na zdravnika.;Zdravniki lahko tudi spodbujajo bolnike, da svoje partnerje napotijo k zdravniku.;;;
"""Kar zadeva mene, priznam, da mi najbolj laska ognjevit in dobro izveden napad, ki se razvija v pravem vrstnem redu, čeprav z vso naglico; napad, pri katerem se mi ni treba bati, da bi moral v mučni zadregi sam popravljati nerodnosti, ki bi se jih sicer držal kot rešilne bilke; napad, ki zna ohraniti videz nasilja tudi do stvari, ki jih z veseljem dam, in ki zna spretno laskati dvema priljubljenima kapricama vsake ženske: ponos na častno obrambo in užitek ob porazu.""";"""Kar se mene tiče, priznam, da mi najbolj laska ognjevit in dobro izveden napad, ki se razvije v pravem vrstnem redu, čeprav z vso naglico; napad, pri katerem se mi ni treba bati, da bom moral v mučni zadregi sam popraviti nerodnost, ki bi se je sicer držal kot rešilne vrvi; napad, ki zna ohraniti videz nasilja tudi v stvareh, ki jih rad dam, in ki zna spretno laskati dvema priljubljenima razpoloženjema vsake ženske: ""Ponos na častno obrambo in užitek ob porazu.""";;;
Srednje velika rumena pritlikavka, kot je Sonce, ostane v glavnem nizu okoli 10 milijard let.;Srednje velika rumena pritlikavka, kot je Sonce, ostane v glavnem zaporedju približno 10 milijard let.;;;
Igra se konča, ko se na igralni plošči pojavi žeton s številko 2048, kar je tudi ime igre.;Igra se konča, ko se na igralni plošči pojavi ploščica s številko 2048, kar je razlog za ime igre.;;;
Olimpijske igre leta 1916 naj bi potekale v Berlinu, vendar so bile zaradi prve svetovne vojne odpovedane.;Olimpijske igre 1916 so bile dodeljene Berlinu, vendar so bile odpovedane zaradi prve svetovne vojne.;;;
Meni tudi, da v naših dveh knjižicah ni našel rešitve glede motenj spanja, a žal tudi sam ne ponuja nobene boljše rešitve, saj zdravila, ki jih omenja, v Sloveniji niso registrirana, zato tudi večini ljudi niso dostopna.;Strinja se, da v naših dveh brošurah nismo našli rešitve za motnje spanja, vendar žal sam ne ponuja boljše rešitve, saj zdravila, ki jih omenja, v Sloveniji niso odobrena in zato večini ljudi niso dostopna.;;;
Zdaj se soočamo z dilemo, kako razporediti otroke v njihovih dveh sobah.;Zdaj smo pred dilemo, kako razporediti otroke v njihovih dveh sobah.;;;
Nato bo razredničarka suho dejala, da Klara med odmorom ni ničesar pojedla.;Zatem bo razredničarka suhoparno povedala, da Klara pri malici nič ne je.;;;
Po smrti prve žene leta 1742 se je poročil z Anastazijo Maxarti Ximenes iz Španije.;Po smrti prve žene leta 1742se je poročil s Španko Anastasio Maxarti Ximenes.;;;
Območje je zdaj redko poseljeno, prebivalci pa se preživljajo predvsem z rejo drobnice, kot so ovce in koze.;Območje je zdaj redko poseljeno, ljudje, ki tu živijo, pa se preživljajo predvsem z rejo drobnice, kot so ovce in koze.;;;
Za peroralno cepivo proti koleri je ugotovljeno, da pri 50−60 % primerov učinkuje več kot dve leti.;Peroralno cepivo proti koleri je v 50-60 % primerov učinkovito več kot dve leti.;;;
Najsvetlejša je bila pri valovni dolžini 500,7 nanometra, ki ni ustrezala nobenemu takrat znanemu elementu.;Najsvetlejša je bila pri valovni dolžini 500,7 nanometrov, kar ni odgovarjalo nobenemu tedaj znanemu elementu.;;;
Ker ste zadevo izgubili, prosite za mnenje o tem, na koga bi se morali obrniti (morda na mednarodno sodišče), da bi odpravil krivico, ki je bila z obema sodbama storjena vašima agentoma.;Ker ste pravdo izgubili, sprašujete za mnenje, kam in na koga (morda na mednarodno sodišče) naj se obrnete, da bi se popravila krivica, ki je bila z obema sodbama povzročena vašima pooblastiteljema.;;;
Pri ljudeh z nejasnimi simptomi je včasih težko postaviti diagnozo, saj so bakterije lahko prisotne tudi brez vnetja.;Pri osebah z nejasnimi simptomi je včasih težko postaviti diagnozo, ker so bakterije lahko prisotne tudi brez vnetja.;;;
Najvišja koncentracija v plazmi je dosežena po 1–2 urah.;Najvišja koncentracija v plazmi se doseže po 1-2 urah.;;;
"Tokrat bo tako, saj se bo zračni pritisk nad severnim Sredozemljem in njegovim obrobjem v prihodnjih dneh (minuli konec tedna) postopoma okrepil, saj bodo naši kraji pod vplivom ""meteorološkega"" grebena.";In tokrat bo že tako, saj se bo zračni tlak nad severnim Sredozemljem in njegovim kopnim obrobjem v prihodnjih dneh postopoma okrepil (dokončno ravno konec tedna), saj bodo prišli naši kraji pod vpliv »meteorološkega« grebena.;;;
V 20. stoletju, ko je prebivalstvo doseglo svoj genetski potencial za višino, se je teža začela povečevati hitreje kot višina, kar je privedlo do debelosti.;V 20. stoletju, ko je prebivalstvo doseglo svoj genetski potencial za višino, je teža začela naraščati hitreje kot višina, kar je vodilo v debelost.;;;
New Yorker je ameriška revija, ki vsebuje novinarske članke, komentarje, kritike, eseje, leposlovje, satiro, karikature in poezijo.;The New Yorker je ameriška revija, ki objavlja novinarske prispevke, komentarje, kritike, eseje, leposlovje, satire, karikature in poezijo.;;;
Trenutno je prost igralec.;Trenutno je svobodni umetnik.;;;
V to družino spada približno 1 % vseh znanih asteroidov v asteroidnem pasu.;Približno 1 % vseh znanih asteroidov iz asteroidnega pasu pripada tej družini.;;;
"V naslednjih dveh desetletjih so mesta prefekture nadomestila veliko večino kitajskih prefektur; to se še vedno dogaja.";"V naslednjih dveh desetletjih so prefekturna mesta nadomestila veliko večino kitajskih prefektur; to se dogaja še danes.";;;
