sentence1;sentence2;accuracy;fluency;diversity
Takšna hrana najbolj ustreza vaši evolucijski dediščini ter je za vaš organizem najmanj stresna in tvegana.;Takšna hrana je najbolj v skladu z vašo evolucijsko dediščino in je za vaš organizem najmanj stresna in tvegana.;;;
Cepivo se ne sme uporabiti pri osebah, ki so noseče ali ki imajo šibek imunski sistem.;Cepiva se ne sme uporabljati pri nosečnicah ali osebah z oslabljenim imunskim sistemom.;;;
Ne dramatizirajte, vsakdo ima dobre in slabe dneve in vi niste nobena izjema.;Ne dramatizirajte tega, vsak človek ima dobre in slabe dneve, tudi vidva nista nobena izjema.;;;
Tedaj bi le popili kavo, poklepetali o vajinih družinah, delu in hobijih in se poslovili.;Potem pa se le dobimo na kavi, poklepetamo o vaših družinah, delu in hobijih ter se poslovimo.;;;
Samo v eni študiji genetskih povezav je bilo z astmo povezanih več kot 100 genov, ki jih še vedno odkrivajo.;V eni sami študiji genetskih povezav je bilo z astmo povezanih več kot 100 genov, še vedno pa jih odkrivajo.;;;
Vendar lahko združenje, ki meni, da mu pripada lastninska pravica, v šestih mesecih po začetku veljavnosti tega sklepa predloži svoj zahtevek pristojnemu organu.;Društvo, ki meni, da lastninska pravica pripada njemu, pa lahko svoj zahtevek pristojnemu organu poda v šestih mesecih od uveljavitve tega sklepa.;;;
Zaradi bližine Sonca je Merkur težko opazovati, saj ga večino časa zakriva Sončeva svetloba.;Zaradi bližine Sonca je Merkur težko opazovati, saj ga večino časa zakriva Sončev sij.;;;
Kar debelo sem pogledal, ko sem zagledal 6. mesto, saj sem imel dober občutek, za noben doskok me niso mogli resneje kaznovati, nikdar ne bi rekel, da je bila med mojima nastopoma takšna razlika, kot kažeta oceni.;Ko sem videl 6. mesto, sem se precej potrudil, saj sem imel dober občutek. Za nobenega od mojih skokov me ne bi mogli bolj kaznovati, nikoli ne bi rekel, da je bila razlika med mojimi nastopi tako velika, kot kažejo rezultati.;;;
Teroristi so kmalu po ugrabitvi ubili več športnikov, devet pa so jih usmrtili med spodleteli reševalno akcijo.;Teroristi so kmalu po ugrabitvi ubili več športnikov, devet pa so jih usmrtili v spodleteli reševalni akciji.;;;
Za upravne namene je bila ustanovljena ena pokrajina.;Za upravne namene je bila ustanovljena pokrajina.;;;
Večina uradnikov je prestara in jih je treba nadomestiti z mlajšimi.;Večina častnikov je prestarih in nadomestiti jih je treba z mlajšimi.;;;
Nekatere raziskave kažejo, da je pri debelih ljudeh manjša verjetnost zaposlitve in napredovanja.;Nekatere raziskave kažejo, da je pri debelih ljudeh manjša verjetnost, da bodo zaposleni, in manjša verjetnost, da bodo napredovali.;;;
Njen vpliv na moža je bil globok in na splošno koristen.;Njen vpliv na moža je bil velik in na splošno koristen.;;;
Najprej sta živela v Parizu.;Sprva so živeli v Parizu.;;;
Cilj IMI je »postati prilagodljivo orodje za upravno sodelovanje, ki prispeva k boljšemu upravljanju notranjega trga«.;"IMI naj bi postal ""prožno orodje za upravno sodelovanje, ki prispeva k boljšemu upravljanju enotnega trga"".";;;
Notranjost je vsekakor bolj primerna za družino z dvema otrokoma kot za dva starejša para.;Notranja razporeditev bo zagotovo bolj ustrezala družini z dvema otrokoma kot dvema starejšima paroma.;;;
Strategija določa tudi širše prednostne osi – ukrepe, ki so potrebni za doseganje ciljev in ki so upravičeni do financiranja.;Strategija določa tudi splošne prednostne osi - ukrepe, ki so potrebni za doseganje ciljev in so upravičeni do financiranja.;;;
"Zato pustimo ob strani stvari in storitve, ki jih dobro plačujemo pri svojih mobilnih operaterjih, in si raje oglejmo, kaj radi počnejo elektronski ""kriminalci"" sodobnega časa.";Ob robu bomo torej pustili stvari in storitve, ki jih dobro plačujemo našima operaterjema mobilne telefonije, in bomo raje pogledali, kaj radi delajo novodobni elektronski »kriminalci«.;;;
Kakšen je, kje živi, koliko zasluži, koliko ga spije, kaj največkrat je za kosilo in v kaj verjame povprečen kranjski Janez?;Kakšen je, kje živi, koliko zasluži, koliko pije, kaj najpogosteje jé za kosilo in v kaj verjame povprečen Janez iz Kranja?;;;
Med kristjani je zavist eden izmed sedmih smrtnih grehov.;Med kristjani velja zavist za enega od sedmih smrtnih grehov.;;;
Danes še vedno ne uživa mleka in masla, uživa pa veliko žitaric in stročnic ter samo ekološko in sezonsko zelenjavo.;Še danes ne uživa mleka in masla, je pa veliko žit in stročnic ter kupuje le organsko in sezonsko zelenjavo.;;;
