sentence1;sentence2;accuracy;fluency;diversity
V zgodovini nisem ravno dober, Kasij, toda a ne bi morali barbari izgubiti bitko pri Kartagini?;Zgodovina ni ravno moja močna točka, Kasij, ampak kaj ne bi morali barbari izgubiti bitko pri Kartagini?;5;5;5
-Da, Jaz sem ga našel.;-Ja, našel sem ga.;3;3;3
Brez zamere, v redu?;Saj ni zamere, ne?;5;5;5
Nikakor nočeš umreti.;Preprosto nočeš umreti.;5;5;5
Jaz mislim, da je.;Jaz mislim, da drži.;1;1;1
Ničesar, kar bi ga izpostavilo snu.;Ničesar, kar bi ga izpostavilo spancu.;5;5;2
-Zato mi Arthur stalno tolmači da ni možna.;-Zato mi Arthur vedno tolmači da ni mogoča.;5;5;4
Nekaj bi vas vprašala.;Naj vas nekaj vprašam.;5;5;5
Pokrij rano.;Zakrij rano.;5;5;5
To bo svež začetek na novem svetu.;To bi bil nov začetek na novem svetu.;3;3;4
Pojdi spančkat, gospod Eames.;Pojdi spat, gospod Eames.;5;5;3
-Prekleto, zakaj potlej ni?;-Prekleto, zakaj potem ni?;5;5;4
Ljudje, kaj je tukaj narobe?;Ljudje, kaj tu manjka?;5;5;5
Nisem tukaj, da bi ubil Leaddisa.;Tu nisem, da bi ubil Leaddisa.;5;5;5
Ja, poglej moje naprave.;Poglej moje instrumente.;3;5;4
Marshal, ali imate migreno?;Šerif, imate migreno?;2;3;4
Ne bom dovolil nove diktature!;Ne bom dopustil novega diktatorstva!;5;5;5
Otrokoma sem obrnil hrbet in od takrat se stalno trudim pridobiti pot nazaj.;Otrokoma sem obrnil hrbet in od takrat, se vedno trudim pridobiti pot nazaj.;5;5;2
Drhal to vidi, pa tudi senat.;Drhal vidi to, pa tudi senat.;5;5;3
Kaj bo torej naš naslednji korak?;Kaj bo najin naslednji korak?;1;2;3
Moramo premestiti njegovo mržnjo z njegovega očeta na njegovega botra.;Premestiti moramo njegovo sovraštvo z njegovega očeta na njegovega botra.;5;5;5
Trdila je, da otroci niso mrtvi.;Vztrajala je, da otroci niso mrtvi.;4;4;3
Tudi to je lahko vrlina, če nas žene k odličnosti.;To je tudi lahko vrlina, če nas žene do odličnosti.;5;5;3
Najprej jih bom izgnal s plinom.;Najprej jih bom pregnal s plinom.;5;5;3
Glede tebe pa...;Kar pa se tiče tebe ...;5;5;5
Pomirite se ljudje, pomirite!;Pomirite se!;1;1;1
Je bil doktor prisoten?;Je bil dr. Sheehan tistega večera prisoten?;2;3;3
In še vedno mu.;Še vedno mu.;2;2;2
Po vseh lažeh, ki si jih izrekel?;Po vseh tvojih lažeh?;5;5;5
Na'vi pravijo, da se vsak rodi dvakrat.;Na'vi pravijo, da se človek rodi dvakrat.;5;5;5
To je pa res prekleto smešno.;To je prekleto smešno.;4;4;3
Kaj pa, če ne bodo hoteli proč?;In če ne bodo hoteli iti?;5;5;5
Oprostite, veličanstvo.;Oprostite, visočanstvo.;5;5;4
Ne vem več, kdo sploh sem.;Ne vem več, kdo sem.;5;5;3
In ko bo kombi trčil v branik na mostu, bo to več kot očitno.;In ko bo kombi trčil v pregrado na mostu, bo to več kot očitno.;5;5;2
To bi vedel, če bi imel vsaj malo treninga.;Če bi bil na pripravah, bi to vedel.;4;4;4
Tu je kopija vašega sprejemnega lista.;Tu je kopija vašega sprejemnega obrazca.;4;4;2
Mi... pojma nimamo, kako je prišla tja.;Ne vemo, kako je prišla ven.;1;1;1
Prijatelja sem imel.;Imel sem prijatelja.;5;5;3
Prvič, odkar so zaprli njeno šolo.;Prvič, odkar so njeno šolo zaprli.;5;5;3
Še pacientov?;Še več pacientov?;3;3;2
Menila sem, da me morda pogrešaš.;Mislila sem, da me morda pogrešaš.;5;5;3
Tam spodaj se dogaja nekaj biološko izjemno zanimivega.;Tam se dogaja nekaj biološko zelo zanimivega.;4;4;4
-Oh... ali res?;-Kaj res?;5;5;4
