"Mestni načrtovalci so pripravili razširitev viškega pokopališča, ki ne zadošča več potrebam prebivalcev v njegovi okolici.","Mestni načrtovalci so pripravili razširitev pokopališča Viš, ki ne zadošča več potrebam prebivalcev v okolici.","Mestni načrtovalci so pripravili širitev pokopališča Viš, ki ne zadošča več potrebam prebivalcev v okolici."
"O tem, zakaj le tam in kaj lahko to pomeni za Slovenijo, ter o novem merjenju emisij in njegovem vplivu na davke smo se pogovarjali z Davidom Juričem, predsednikom sekcije za osebne motorna vozila pri TZS in direktorjem družbe Summit Motors, ki zastopa Ford.","Z Davidom Juričem, predsednikom sekcije za osebna motorna vozila pri Gospodarski zbornici Slovenije in generalnim direktorjem Summit Motors, ki zastopa Ford, smo se pogovarjali o tem, zakaj le tam in kaj bi to lahko pomenilo za Slovenijo, pa tudi o novem merjenju emisij in njegovem vplivu na davke.","Z Davidom Juričem, predsednikom sekcije za osebna vozila pri Gospodarski zbornici Slovenije in generalnim direktorjem Summit Motors, ki zastopa Ford, smo se pogovarjali o razlogih za to odločitev in njenem pomenu za Slovenijo, pa tudi o novem merjenju emisij in njegovem vplivu na davke."
"Povejte mu, da ste se odzvali nagonsko, v slogu, v kakršnem ste bili vzgojeni.","Povejte mu, da ste se odzvali instinktivno, tako kot ste bili vzgojeni.","Povejte mu, da ste se odzvali instinktivno, tako kot ste bili vzgojeni."
"Del tega gre pripisati robustnosti vozila in njegovi zanesljivosti, ki sta tudi rezultat dejstva, da vozilo sestavljajo na Poljskem.","Deloma je to posledica robustnosti in zanesljivosti vozila, ki je tudi posledica dejstva, da je vozilo sestavljeno na Poljskem.","To je deloma posledica robustnosti in zanesljivosti vozila, ki je tudi posledica dejstva, da je vozilo sestavljeno na Poljskem."
"Odvetnica staršev je povedala, da sta starša nad sodbo globoko prizadeta in zelo razočarana, saj ne moreta razumeti, zakaj sodnik njunemu sinu ni dal možnosti za nadaljnje zdravljenje.","Odvetnik staršev je dejal, da sta bila nad sodbo globoko prizadeta in zelo razočarana, saj nista mogla razumeti, zakaj sodnik njunemu sinu ni dal možnosti za nadaljnje zdravljenje.","Odvetnik staršev je dejal, da sta bila nad sodbo globoko prizadeta in zelo razočarana, saj nista mogla razumeti, zakaj sodnik njunemu sinu ni dal možnosti za nadaljnje zdravljenje."
"Če se nikakor ne morete rešiti plevela, ki se grdo razrašča po vaših gredicah, preizkusite naslednji trik.","Če se ne morete znebiti plevela, ki raste na vaših gredicah, poskusite s tem trikom.","Če se ne morete znebiti plevela, ki raste na vaših gredicah, poskusite s tem trikom."
"Posebno pozornost namenjamo tudi dvema premierama: lutkovni predstavi Janček Ježek in kratkemu animiranemu filmu Koya, ki bosta na sporedu v ponedeljek, 2. maja.","Posebno pozornost namenjamo tudi dvema premierama: lutkovni predstavi Janček Ježek in kratkemu animiranemu filmu Koya, ki bosta prikazana v ponedeljek, 2. maja.","Posebna pozornost bo namenjena tudi dvema premierama: lutkovni predstavi Janček Ježek in kratkemu animiranemu filmu Koya, ki bosta prikazana v ponedeljek, 2. maja."
"- Že od vašega nastopa nove službe naprej invalidi na vozičkih zasedajo avlo poslopja urada vlade in s tem javno izražajo protest proti vašemu imenovanju.","- Odkar ste prevzeli novo delovno mesto, so invalidi na invalidskih vozičkih zasedli avlo stavbe vladnega urada in javno protestirali proti vašemu imenovanju.","- Odkar ste nastopili funkcijo, so invalidi na invalidskih vozičkih zasedli preddverje vladne stavbe in javno protestirali proti vašemu imenovanju."
"Glede na prikazano je malo verjetno, da so tudi našli rešitev, kako Pirellijeve pnevmatike pripraviti, da bodo ""sodelovale"" z njihovima dirkalnikoma tudi v bolj vročih razmerah.","Glede na prikazano je malo verjetno, da so našli rešitev, da bi pnevmatike Pirelli ""delovale"" z njihovimi dirkalniki tudi v bolj vročih razmerah.","Glede na prikazano je malo verjetno, da so našli rešitev, ki bi omogočila ""delovanje"" Pirellijevih pnevmatik z njihovimi dirkalniki v bolj vročih razmerah."
"To sta zagotovo naša največja poslovna uspeha v zadnjem času.","To sta zagotovo naša dva največja nedavna poslovna uspeha.","To sta zagotovo naša dva največja poslovna uspeha v zadnjem času."
